Gene,NCT Link,Condition,Intervention,Phase,Institution,State,Start Date
ABL1,https://clinicaltrials.gov/ct2/show/NCT03333486,"['Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive', 'Acute Leukemia in Remission', 'Acute Lymphoblastic Leukemia', 'Acute Myeloid Leukemia', 'Acute Myeloid Leukemia With FLT3/ITD Mutation', 'Acute Myeloid Leukemia With Gene Mutations', 'Aplastic Anemia', 'B-Cell Non-Hodgkin Lymphoma', 'CD40 Ligand Deficiency', 'Chronic Granulomatous Disease', 'Chronic Leukemia in Remission', 'Chronic Lymphocytic Leukemia', 'Chronic Myelogenous Leukemia, BCR-ABL1 Positive', 'Chronic Myelomonocytic Leukemia', 'Chronic Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive', 'Congenital Amegakaryocytic Thrombocytopenia', 'Congenital Neutropenia', 'Congenital Pure Red Cell Aplasia', 'Glanzmann Thrombasthenia', 'Immunodeficiency Syndrome', 'Myelodysplastic Syndrome', 'Myelofibrosis', 'Myeloproliferative Neoplasm', 'Paroxysmal Nocturnal Hemoglobinuria', 'Plasma Cell Myeloma', 'Polycythemia Vera', 'Recurrent Non-Hodgkin Lymphoma', 'Refractory Non-Hodgkin Lymphoma', 'Secondary Acute Myeloid Leukemia', 'Secondary Myelodysplastic Syndrome', 'Severe Aplastic Anemia', 'Shwachman-Diamond Syndrome', 'Sickle Cell Disease', 'T-Cell Non-Hodgkin Lymphoma', 'Thalassemia', 'Waldenstrom Macroglobulinemia', 'Wiskott-Aldrich Syndrome']","['Cyclophosphamide', 'Fludarabine Phosphate', 'Laboratory Biomarker Analysis', 'Peripheral Blood Stem Cell Transplantation', 'Total-Body Irradiation']",Phase 2,['Roswell Park Cancer Institute'],['New York'],"December 7, 2017"
AKT1,https://clinicaltrials.gov/ct2/show/NCT03310541,"['Breast Cancer', 'Prostate Cancer', 'Advanced Solid Tumors']","['AZD5363', 'Enzalutamide', 'Fulvestrant']",Phase 1,"['Memoral Sloan Kettering Monmouth', 'Memorial Sloan Kettering Westchester', 'Memorial Sloan Kettering Cancer Center']","['New Jersey', 'New York', 'New York']","October 11, 2017"
AKT2,https://clinicaltrials.gov/ct2/show/NCT03310541,"['Breast Cancer', 'Prostate Cancer', 'Advanced Solid Tumors']","['AZD5363', 'Enzalutamide', 'Fulvestrant']",Phase 1,"['Memoral Sloan Kettering Monmouth', 'Memorial Sloan Kettering Westchester', 'Memorial Sloan Kettering Cancer Center']","['New Jersey', 'New York', 'New York']","October 11, 2017"
AKT3,https://clinicaltrials.gov/ct2/show/NCT03310541,"['Breast Cancer', 'Prostate Cancer', 'Advanced Solid Tumors']","['AZD5363', 'Enzalutamide', 'Fulvestrant']",Phase 1,"['Memoral Sloan Kettering Monmouth', 'Memorial Sloan Kettering Westchester', 'Memorial Sloan Kettering Cancer Center']","['New Jersey', 'New York', 'New York']","October 11, 2017"
ALK,https://clinicaltrials.gov/ct2/show/NCT03868423,"['Advanced Malignant Neoplasm', 'ALK Fusion Protein Expression', 'ALK Gene Amplification', 'ALK Gene Mutation', 'Locally Advanced Malignant Solid Neoplasm', 'Metastatic Malignant Neoplasm in the Brain', 'Metastatic Malignant Neoplasm in the Central Nervous System', 'Metastatic Malignant Solid Neoplasm', 'ROS1 Fusion Positive', 'ROS1 Gene Amplification', 'ROS1 Gene Mutation']","['Brigatinib', 'Laboratory Biomarker Analysis', 'Quality-of-Life Assessment', 'Questionnaire Administration']",Phase 2,['Ohio State University Comprehensive Cancer Center'],['Ohio'],"March 31, 2019"
ALK,https://clinicaltrials.gov/ct2/show/NCT03213652,"['Advanced Malignant Solid Neoplasm', 'ALK Fusion Protein Expression', 'ALK Gene Mutation', 'Ann Arbor Stage III Childhood Non-Hodgkin Lymphoma', 'Ann Arbor Stage IV Childhood Non-Hodgkin Lymphoma', 'Recurrent Childhood Central Nervous System Neoplasm', 'Recurrent Childhood Non-Hodgkin Lymphoma', 'Recurrent Malignant Solid Neoplasm', 'Recurrent Neuroblastoma', 'Refractory Central Nervous System Neoplasm', 'Refractory Malignant Solid Neoplasm', 'Refractory Neuroblastoma', 'Refractory Non-Hodgkin Lymphoma', 'ROS1 Fusion Positive', 'ROS1 Gene Mutation']","['Ensartinib', 'Laboratory Biomarker Analysis', 'Pharmacological Study']",Phase 2,"[""Children's Hospital of Alabama"", ""Cardon Children's Medical Center"", ""Arkansas Children's Hospital"", 'Kaiser Permanente Downey Medical Center', 'Loma Linda University Medical Center', ""Miller Children's and Women's Hospital Long Beach"", ""Children's Hospital Los Angeles"", ""Valley Children's Hospital"", ""Children's Hospital and Research Center at Oakland"", 'Kaiser Permanente-Oakland', 'UCSF Medical Center-Mission Bay', ""Children's Hospital Colorado"", ""Rocky Mountain Hospital for Children-Presbyterian Saint Luke's Medical Center"", 'Yale University', 'Alfred I duPont Hospital for Children', ""Children's National Medical Center"", 'University of Florida Health Science Center - Gainesville', ""Nemours Children's Clinic-Jacksonville"", 'University of Miami Miller School of Medicine-Sylvester Cancer Center', ""Nicklaus Children's Hospital"", 'AdventHealth Orlando', 'Arnold Palmer Hospital for Children', ""Nemours Children's Hospital"", ""Nemours Children's Clinic - Pensacola"", ""Saint Joseph's Hospital/Children's Hospital-Tampa"", ""Children's Healthcare of Atlanta - Egleston"", ""Saint Luke's Mountain States Tumor Institute"", 'University of Chicago Comprehensive Cancer Center', 'Saint Jude Midwest Affiliate', 'Riley Hospital for Children', ""Blank Children's Hospital"", 'University of Iowa/Holden Comprehensive Cancer Center', ""Norton Children's Hospital"", ""Children's Hospital New Orleans"", 'Ochsner Medical Center Jefferson', 'Eastern Maine Medical Center', 'University of Maryland/Greenebaum Cancer Center', 'Sinai Hospital of Baltimore', 'Johns Hopkins University/Sidney Kimmel Cancer Center', 'Massachusetts General Hospital Cancer Center', 'Dana-Farber Cancer Institute', ""C S Mott Children's Hospital"", ""Children's Hospitals and Clinics of Minnesota - Minneapolis"", 'University of Minnesota/Masonic Cancer Center', 'Mayo Clinic', 'University of Mississippi Medical Center', ""Children's Mercy Hospitals and Clinics"", ""Cardinal Glennon Children's Medical Center"", 'Washington University School of Medicine', 'Mercy Hospital Saint Louis', ""Children's Hospital and Medical Center of Omaha"", 'University of Nebraska Medical Center', 'University Medical Center of Southern Nevada', 'Alliance for Childhood Diseases/Cure 4 the Kids Foundation', 'Summerlin Hospital Medical Center', 'Hackensack University Medical Center', 'Morristown Medical Center', 'Roswell Park Cancer Institute', ""The Steven and Alexandra Cohen Children's Medical Center of New York"", 'NYP/Columbia University Medical Center/Herbert Irving Comprehensive Cancer Center', 'Memorial Sloan Kettering Cancer Center', 'NYP/Weill Cornell Medical Center', 'University of Rochester', 'State University of New York Upstate Medical University', 'Mission Hospital Inc-Memorial Campus', 'Carolinas Medical Center/Levine Cancer Institute', 'Novant Health Presbyterian Medical Center', 'Duke University Medical Center', ""Cincinnati Children's Hospital Medical Center"", 'Cleveland Clinic Foundation', ""Nationwide Children's Hospital"", ""Dayton Children's Hospital"", ""The Toledo Hospital/Toledo Children's Hospital"", 'University of Oklahoma Health Sciences Center', ""Legacy Emanuel Children's Hospital"", 'Oregon Health and Science University', 'Geisinger Medical Center', ""Children's Hospital of Philadelphia"", ""Children's Hospital of Pittsburgh of UPMC"", ""BI-LO Charities Children's Cancer Center"", 'Sanford USD Medical Center - Sioux Falls', 'East Tennessee Childrens Hospital', ""St. Jude Children's Research Hospital"", 'Vanderbilt University/Ingram Cancer Center', ""Dell Children's Medical Center of Central Texas"", 'Medical City Dallas Hospital', 'UT Southwestern/Simmons Cancer Center-Dallas', ""Cook Children's Medical Center"", 'Baylor College of Medicine/Dan L Duncan Comprehensive Cancer Center', 'M D Anderson Cancer Center', ""Children's Hospital of San Antonio"", ""Methodist Children's Hospital of South Texas"", 'University of Texas Health Science Center at San Antonio', ""Primary Children's Hospital"", 'University of Vermont and State Agricultural College', ""Children's Hospital of The King's Daughters"", 'Virginia Commonwealth University/Massey Cancer Center', ""Seattle Children's Hospital"", ""Providence Sacred Heart Medical Center and Children's Hospital"", 'Madigan Army Medical Center', 'West Virginia University Healthcare', 'University of Wisconsin Hospital and Clinics', ""Children's Hospital of Wisconsin"", ""San Jorge Children's Hospital"", 'University Pediatric Hospital']","['Alabama', 'Arizona', 'Arkansas', 'California', 'California', 'California', 'California', 'California', 'California', 'California', 'California', 'Colorado', 'Colorado', 'Connecticut', 'Delaware', 'District of Columbia', 'Florida', 'Florida', 'Florida', 'Florida', 'Florida', 'Florida', 'Florida', 'Florida', 'Florida', 'Georgia', 'Idaho', 'Illinois', 'Illinois', 'Indiana', 'Iowa', 'Iowa', 'Kentucky', 'Louisiana', 'Louisiana', 'Maine', 'Maryland', 'Maryland', 'Maryland', 'Massachusetts', 'Massachusetts', 'Michigan', 'Minnesota', 'Minnesota', 'Minnesota', 'Mississippi', 'Missouri', 'Missouri', 'Missouri', 'Missouri', 'Nebraska', 'Nebraska', 'Nevada', 'Nevada', 'Nevada', 'New Jersey', 'New Jersey', 'New York', 'New York', 'New York', 'New York', 'New York', 'New York', 'New York', 'North Carolina', 'North Carolina', 'North Carolina', 'North Carolina', 'Ohio', 'Ohio', 'Ohio', 'Ohio', 'Ohio', 'Oklahoma', 'Oregon', 'Oregon', 'Pennsylvania', 'Pennsylvania', 'Pennsylvania', 'South Carolina', 'South Dakota', 'Tennessee', 'Tennessee', 'Tennessee', 'Texas', 'Texas', 'Texas', 'Texas', 'Texas', 'Texas', 'Texas', 'Texas', 'Texas', 'Utah', 'Vermont', 'Virginia', 'Virginia', 'Washington', 'Washington', 'Washington', 'West Virginia', 'Wisconsin', 'Wisconsin']","July 24, 2017"
ALK,https://clinicaltrials.gov/ct2/show/NCT03049618,"['ALK Gene Mutation', 'BRAF Gene Mutation', 'EGFR Gene Mutation', 'Head and Neck Squamous Cell Carcinoma', 'Metastatic Head and Neck Carcinoma', 'Recurrent Head and Neck Carcinoma', 'Recurrent Non-Small Cell Lung Carcinoma', 'ROS1 Gene Mutation', 'Stage III Non-Small Cell Lung Cancer', 'Stage IIIA Non-Small Cell Lung Cancer', 'Stage IIIB Non-Small Cell Lung Cancer', 'Stage IV Non-Small Cell Lung Cancer']","['Laboratory Biomarker Analysis', 'Pembrolizumab', 'Recombinant EphB4-HSA Fusion Protein']",Phase 2,['USC / Norris Comprehensive Cancer Center'],['California'],"March 10, 2017"
ALK,https://clinicaltrials.gov/ct2/show/NCT03944265,"['Activating ALK Gene Mutation Negative', 'Activating EGFR Gene Mutation Negative', 'Activating ROS1 Gene Mutation Negative', 'Health Care Provider', 'Lung Non-Small Cell Carcinoma', 'Stage IV Lung Cancer AJCC v8', 'Stage IVA Lung Cancer AJCC v8', 'Stage IVB Lung Cancer AJCC v8']","['Counseling', 'Questionnaire Administration', 'Medical Chart Review']",Not Applicable,['Sidney Kimmel Cancer Center at Thomas Jefferson University'],['Pennsylvania'],"February 8, 2019"
ALK,https://clinicaltrials.gov/ct2/show/NCT04042558,"['NSCLC Stage IIIB', 'NSCLC Stage IV', 'EGFR Gene Mutation', 'ALK Gene Rearrangement Positive', 'ROS1 Gene Mutation']","['Carboplatin + Pemetrexed + Atezolizumab + Bevacizumab', 'Carboplatin + Pemetrexed + Atezolizumab']",Phase 2,"['CHU', 'Centre Hospitalier', 'CHU-Hôpital MORVAN', 'Centre François Baclesse', 'CHU Gabriel MONTPIED', 'CHIC', 'CHU', 'CHU Limoges', 'Centre Léon Bérard', 'Hôpital Nord', 'Hopital Foch', 'institut Curie', 'HIA Percy', 'Hôpital Haut Lévêque,Centre François Magendie', 'CHU', 'CHU', 'CHU', 'ICLN, St Priez en Jarez', 'Centre Paul Strauss', 'HIA St Anne', 'CHU', 'Centre Hospitalier', 'HIA R.Picqué']",[],"September 26, 2019"
ALK,https://clinicaltrials.gov/ct2/show/NCT04127110,['Non Small Cell Lung Cancer'],['Lorlatinib'],Phase 2,[],[],June 2020
